Region,Bank,API,Channel,OrderPriority,OrderDate,OrderID,APISold,TotalCost,TotalProfit
Central America and the Caribbean,2,2,Online,M,12/20/13,957081544,552,87999.84,52914.72
Central America and the Caribbean,3,7,Offline,C,7/5/10,301644504,2167,211152.48,119488.38
Europe,3,4,Offline,C,9/12/11,478051030,4778,151892.62,74823.48
Asia,3,9,Offline,L,5/13/10,892599952,9016,1055863.76,798727.44
Asia,3,6,Offline,C,7/20/15,571902596,7542,734892.48,415865.88
Middle East and North Africa,3,3,Offline,L,11/8/10,412882792,48,2720.16,1202.88
Australia and Oceania,2,7,Offline,H,3/28/11,932776868,8258,295966.72,606467.52
Europe,3,2,Online,M,10/14/13,919133651,927,33223.68,68078.88
Middle East and North Africa,2,5,Offline,M,8/27/16,579814469,8841,316861.44,649283.04
Sub-Saharan Africa,1,6,Online,M,4/13/15,192993152,9817,1565026.14,941057.62
Middle East and North Africa,1,9,Offline,C,9/25/13,557156026,3704,1944451.84,467630
Middle East and North Africa,1,9,Online,M,5/12/13,741101920,7382,1943902.06,1283508.34
Asia,2,1,Offline,L,7/31/16,333942162,9762,1143227.82,864815.58
Central America and the Caribbean,3,6,Offline,H,7/6/15,795100581,6786,1786957.38,1179881.82
Central America and the Caribbean,1,4,Online,L,11/28/10,504313504,6428,1024751.76,616188.08
Middle East and North Africa,3,8,Offline,H,12/17/15,611629760,3693,1346800.17,211239.6
Europe,2,5,Offline,C,8/13/14,987410676,5616,657689.76,497521.44
Europe,1,3,Online,L,10/31/10,672330081,6266,3289399.36,791082.5
North America,3,1,Online,C,3/13/17,127374303,1742,55378.18,27279.72
Central America and the Caribbean,2,10,Offline,C,4/16/13,783842170,5172,824520.24,495787.92
Middle East and North Africa,2,10,Offline,L,1/18/10,993345010,1718,54615.22,26903.88
Middle East and North Africa,1,10,Offline,M,9/5/15,977806651,3572,569448.24,342411.92
Europe,1,9,Online,L,9/28/16,579463422,4958,34309.36,11948.78
Australia and Oceania,3,2,Offline,L,3/22/12,610864150,7132,226726.28,111687.12
Middle East and North Africa,3,9,Offline,L,4/25/17,604870164,3378,329152.32,186262.92
Central America and the Caribbean,1,4,Online,H,3/13/14,164655292,4015,470196.65,355688.85
Europe,1,8,Offline,L,5/29/16,313705861,1390,9618.8,3349.9
Central America and the Caribbean,1,4,Online,M,1/17/12,345820701,4885,2564429.6,616731.25
Sub-Saharan Africa,1,5,Online,M,12/27/12,975111138,5910,942172.2,566532.6
Australia and Oceania,1,7,Online,C,4/1/13,286001002,2907,283258.08,160291.98
Middle East and North Africa,1,8,Offline,H,6/26/15,483226621,6350,1672145.5,1104074.5
Australia and Oceania,2,9,Offline,M,1/17/12,241836822,3744,134184.96,274959.36
Middle East and North Africa,3,7,Online,H,7/3/11,557192933,4626,165795.84,339733.44
Sub-Saharan Africa,2,7,Online,L,2/17/12,694968783,5562,2028405.78,318146.4
Middle East and North Africa,1,1,Online,H,4/5/13,441150701,5150,35638,12411.5
Europe,3,7,Online,M,7/8/11,552037513,9022,1056566.42,799258.98
Australia and Oceania,2,7,Offline,C,2/24/12,504240548,4838,1273990.54,841183.06
Europe,3,5,Offline,L,2/13/10,744683635,7291,662970.63,460280.83
Sub-Saharan Africa,2,6,Online,L,8/7/16,440603101,3104,175903.68,77786.24
Middle East and North Africa,3,9,Offline,L,4/26/17,629547774,6031,216151.04,442916.64
Europe,1,10,Online,L,3/21/14,169378983,1860,678323.4,106392
Middle East and North Africa,1,2,Offline,L,2/2/14,688270556,3407,193074.69,85379.42
Asia,2,1,Online,L,3/21/17,734708821,5522,2013818.18,315858.4
Asia,3,7,Online,C,8/6/13,727492606,84,8184.96,4631.76
Middle East and North Africa,1,1,Offline,M,12/30/16,705733239,1003,159898.26,96147.58
Sub-Saharan Africa,2,3,Offline,C,10/3/15,778854548,9224,4842231.04,1164530
Sub-Saharan Africa,3,8,Offline,M,5/30/14,676592862,7718,2032380.94,1341928.66
Middle East and North Africa,1,3,Offline,M,10/15/14,198997008,6492,3262489.68,1075919.16
Europe,3,9,Online,H,3/16/12,566428315,7581,240999.99,118718.46
Asia,2,9,Online,M,5/27/14,369560611,52,8289.84,4984.72
Europe,2,1,Online,M,1/12/15,519380223,5005,487687.2,275975.7
Asia,1,8,Online,H,8/10/12,197185981,568,298177.28,71710
Europe,1,2,Online,H,4/13/14,904589211,6905,3624848.8,871756.25
Australia and Oceania,2,5,Offline,H,11/23/16,613513743,1205,605560.7,199704.65
Australia and Oceania,2,1,Offline,M,10/22/10,516195905,2694,96552.96,197847.36
Asia,1,2,Offline,H,12/3/13,975184524,7626,693432.18,481429.38
Australia and Oceania,3,10,Online,M,12/8/14,173340928,4287,153646.08,314837.28
Sub-Saharan Africa,2,10,Offline,H,12/16/14,863838946,7995,453076.65,200354.7
Asia,2,10,Offline,L,3/2/16,920164906,6099,714253.89,540310.41
Central America and the Caribbean,2,2,Online,M,6/12/10,986117637,2977,1085682.13,170284.4
Middle East and North Africa,1,2,Online,L,6/18/13,425808465,5042,590468.62,446670.78
Central America and the Caribbean,2,8,Online,L,6/12/15,473661220,5736,182347.44,89825.76
Europe,1,8,Online,C,4/4/15,184412229,531,84652.02,50901.66
Asia,1,4,Offline,H,8/12/16,483110320,1934,175858.62,122093.42
Central America and the Caribbean,2,1,Online,H,9/22/16,115116822,4481,2251881.74,742636.13
Middle East and North Africa,2,3,Online,M,1/29/10,596105563,9738,1552431.96,933484.68
Sub-Saharan Africa,2,7,Online,C,12/10/14,362062871,1304,127061.76,71902.56
Sub-Saharan Africa,3,2,Online,H,7/28/16,619287574,9810,311859.9,153624.6
Central America and the Caribbean,2,8,Offline,H,6/10/16,394391000,7916,283709.44,581351.04
Sub-Saharan Africa,1,9,Online,M,4/16/13,584296977,5315,168963.85,83232.9
Middle East and North Africa,1,6,Offline,M,7/5/14,806241834,3730,133683.2,273931.2
Europe,1,1,Offline,M,3/8/17,747774398,1916,698746.04,109595.2
Central America and the Caribbean,2,9,Online,H,11/24/11,616755998,660,240695.4,37752
Australia and Oceania,1,2,Offline,C,10/20/16,691360461,7779,1240128.18,745694.94
Central America and the Caribbean,1,5,Online,C,4/1/13,870074117,3121,99216.59,48874.86
Middle East and North Africa,2,8,Online,H,3/1/10,221695792,3566,1872007.36,450207.5
Australia and Oceania,3,7,Online,M,7/13/17,135336816,8026,55539.92,19342.66
Australia and Oceania,2,8,Online,L,4/29/12,270421016,2443,1282477.28,308428.75
Sub-Saharan Africa,1,10,Online,H,6/16/10,806684720,4790,2407166.6,793846.7
Europe,1,1,Online,M,7/10/17,194176757,72,36182.88,11932.56
Middle East and North Africa,1,9,Offline,H,6/28/17,103258454,5326,849070.92,510550.36
Middle East and North Africa,1,9,Online,H,4/21/14,474603641,4619,2424790.24,583148.75
Sub-Saharan Africa,3,2,Online,H,12/26/12,869198644,4049,474178.39,358700.91
Sub-Saharan Africa,1,1,Online,H,11/1/15,918342292,6747,3390637.38,1118180.31
Europe,3,3,Online,H,1/22/11,773645913,7873,2073197.09,1368878.51
Asia,1,6,Online,C,6/13/14,657033336,9620,2533234.6,1672629.4
Europe,3,6,Online,H,7/24/12,410740888,6211,2265089.59,355269.2
Europe,2,9,Offline,M,12/15/11,847317397,8902,3246470.38,509194.4
Europe,2,5,Online,L,9/3/12,599624192,978,31090.62,15315.48
Asia,3,9,Offline,H,1/19/12,170835101,2758,87676.82,43190.28
Central America and the Caribbean,2,4,Online,H,1/17/16,584436452,6588,771520.68,583630.92
Sub-Saharan Africa,2,6,Online,H,10/2/12,234227073,1851,971700.96,233688.75
Europe,3,2,Online,M,1/21/14,734318292,9956,5226501.76,1256945
Central America and the Caribbean,2,8,Online,H,12/21/13,169133937,9345,910576.8,515283.3
Asia,2,3,Online,C,2/24/15,743410336,494,57852.34,43763.46
Europe,1,10,Offline,L,7/7/17,232196319,905,454798.7,149985.65
Sub-Saharan Africa,3,4,Offline,L,6/30/14,530853211,117,3719.43,1832.22
Australia and Oceania,1,9,Online,L,12/7/11,905054843,4695,32489.4,11314.95
Middle East and North Africa,2,1,Offline,C,9/27/16,240787541,3239,1627727.06,536799.47
Sub-Saharan Africa,1,2,Online,L,5/22/10,194350135,1379,502907.51,78878.8
Asia,3,5,Online,L,4/12/13,242353951,6775,3404708.5,1122820.75
Central America and the Caribbean,3,2,Offline,C,10/17/12,831722819,4120,374631.6,260095.6
Europe,3,6,Online,L,7/15/12,229693067,138,36339.54,23994.06
Sub-Saharan Africa,2,7,Offline,H,5/19/13,373813521,8583,1005155.13,760367.97
Europe,3,7,Online,C,4/8/17,121945512,5242,166643.18,82089.72
Australia and Oceania,1,10,Offline,L,11/6/15,202262866,2932,20289.44,7066.12
Australia and Oceania,3,3,Offline,M,12/21/16,963251912,6501,368411.67,162915.06
Central America and the Caribbean,3,1,Online,M,8/21/10,123711478,7830,3934888.2,1297665.9
Central America and the Caribbean,3,6,Offline,L,8/12/10,422752892,830,29747.2,60955.2
Europe,2,6,Online,H,10/22/12,169799983,6443,44585.56,15527.63
Europe,1,7,Online,M,3/11/14,894589078,7643,694977.99,482502.59
Asia,2,2,Offline,M,8/3/16,597169005,4434,2327672.64,559792.5
Sub-Saharan Africa,3,8,Offline,H,4/26/15,497901093,8853,4647470.88,1117691.25
Europe,3,8,Online,M,7/16/10,987459170,9967,564829.89,249773.02
Asia,3,3,Offline,M,1/22/11,276829564,8875,502946.25,222407.5
Sub-Saharan Africa,1,4,Offline,H,5/22/15,247311103,3706,1862413.24,614195.38
Europe,2,4,Offline,M,7/12/15,600515115,4622,31984.24,11139.02
Europe,3,4,Offline,M,11/27/15,208365428,8815,4627522.4,1112893.75
Europe,1,10,Online,L,6/8/14,263098371,5509,312195.03,138055.54
Australia and Oceania,1,6,Online,L,11/21/13,227262771,959,503436.64,121073.75
Sub-Saharan Africa,2,5,Offline,H,7/14/10,983719956,3450,1811112,435562.5
Sub-Saharan Africa,1,10,Offline,H,1/17/13,785643756,8301,1323345.42,795733.86
Sub-Saharan Africa,1,9,Online,C,1/15/16,206520497,2859,1500860.64,360948.75
Europe,2,1,Online,C,5/23/11,790149009,1505,396311.65,261674.35
Europe,3,2,Online,M,10/8/14,100640618,650,76121.5,57583.5
Sub-Saharan Africa,3,6,Online,L,5/27/16,272419154,3736,211719.12,93624.16
Sub-Saharan Africa,2,3,Offline,M,2/27/15,360220944,6237,2274571.53,356756.4
Asia,2,2,Offline,C,10/1/14,389094817,658,20917.82,10304.28
Sub-Saharan Africa,1,6,Offline,L,5/19/12,904402101,1534,559434.46,87744.8
Sub-Saharan Africa,2,2,Online,H,2/13/10,721816623,434,39463.62,27398.42
Europe,3,3,Online,H,2/1/11,977324712,955,93055.2,52658.7
Sub-Saharan Africa,3,4,Online,C,9/7/15,177225196,3729,118544.91,58396.14
Middle East and North Africa,2,6,Online,M,3/27/10,948129403,1415,44982.85,22158.9
Central America and the Caribbean,2,5,Offline,M,3/15/16,586961162,3706,1351541.14,211983.2
Europe,1,1,Online,H,9/7/10,510956799,2326,226645.44,128255.64
Central America and the Caribbean,3,9,Online,L,6/26/13,407665145,6030,2199080.7,344916
Middle East and North Africa,2,3,Online,C,3/9/15,484947526,5604,2043722.76,320548.8
Europe,1,9,Online,M,3/23/11,120977771,8866,61352.72,21367.06
Asia,2,8,Offline,M,3/29/13,114242208,5663,320922.21,141914.78
Middle East and North Africa,2,4,Online,M,1/5/15,433539664,2876,103075.84,211213.44
Australia and Oceania,1,6,Online,M,5/21/11,667981469,9416,3433921.04,538595.2
Europe,1,5,Offline,L,3/11/17,476991450,1225,119364,67546.5
Sub-Saharan Africa,2,7,Online,C,6/23/10,940305936,6277,3295173.92,792471.25
Sub-Saharan Africa,2,3,Online,H,12/28/11,507973754,9577,1526765.34,918051.22
Asia,3,2,Online,L,4/6/13,850356233,8161,2149036.13,1418953.07
Asia,2,4,Offline,L,9/5/10,108127200,6096,2223150.24,348691.2
Middle East and North Africa,1,2,Online,C,10/27/16,542272984,9481,4977145.76,1196976.25
Sub-Saharan Africa,2,5,Offline,C,4/11/11,884092414,1447,759617.12,182683.75
Sub-Saharan Africa,3,4,Offline,C,7/17/12,385196816,7153,3594668.62,1185466.69
Asia,1,2,Online,L,9/9/13,167510020,8792,3206354.48,502902.4
Europe,2,5,Online,H,6/5/16,973268353,589,18724.31,9223.74
Sub-Saharan Africa,3,6,Offline,M,2/28/12,915020644,3797,26275.24,9150.77
Sub-Saharan Africa,2,2,Offline,C,1/31/16,425628221,1704,448714.32,296274.48
Central America and the Caribbean,2,8,Online,L,5/18/10,908264911,4626,147060.54,72443.16
Sub-Saharan Africa,2,3,Online,C,2/25/16,686417043,4912,575244.32,435154.08
Asia,1,10,Online,H,12/7/13,853883445,1941,975430.14,321681.93
Middle East and North Africa,1,7,Online,C,8/8/15,324775445,7126,834525.86,631292.34
Middle East and North Africa,2,10,Online,C,3/3/15,783516871,8909,1043332.99,789248.31
Asia,3,7,Offline,H,4/15/15,834844052,7762,2043967.46,1349578.94
Asia,1,9,Offline,H,11/20/15,953805816,1191,116051.04,65671.74
North America,3,10,Online,L,5/22/10,335763490,8733,4584475.68,1102541.25
Asia,3,3,Online,H,3/18/12,946390902,6954,1831196.82,1209091.98
Europe,3,3,Offline,L,2/14/13,771674382,4453,404911.29,281117.89
Asia,3,3,Online,C,4/23/17,567912757,6860,803374.6,607727.4
Middle East and North Africa,1,8,Offline,L,11/18/14,711717355,1836,963826.56,231795
